ACC,PRE,NPV,SE,SP,MCC,PPV,AUC,AUC-PR,CNN_layers,model,Bi-LSTM cells
0.79739253,0.827559661,0.771929824,0.753856942,0.841359773,0.597349281,0.788990825,0.893678309,"0.8805076257778943
",3,DBP-CNN(Hybrid),16*2
0.801973221,0.75,0.882882882,0.908835904,0.694050991,0.617702839,0.82181357,0.894202269,"0.8821812891002411
",3,DBP-CNN(Hybrid),16*2
0.815362932,0.762209302,0.897137745,0.919354838,0.710339943,0.644350367,0.833439288,0.902190054,"0.8883148821973677
",3,DBP-CNN(Hybrid),16*2
0.836504581,0.839689265,0.833333333,0.833800841,0.839235127,0.673029284,0.836734694,0.913210848,"0.9045857036451034
",3,DBP-CNN(Hybrid),16*2
0.821290095,0.820530726,0.822064056,0.824561403,0.817988668,0.642572427,0.822541127,0.89933055,"0.8865037484583034
",3,DBP-CNN(Hybrid),16*2
0.817829457,0.825340014,0.81054823,0.808555399,0.827195467,0.635819552,0.816861495,0.896908486,"0.884416126130189
",3,DBP-CNN(Hybrid),16*2
0.802677942,0.747428571,0.891544117,0.917251051,0.686968838,0.621353368,0.823677582,0.889747863,"0.8760958529136286
",3,DBP-CNN(Hybrid),16*2
0.813601128,0.752107925,0.916902738,0.938288919,0.687677053,0.647130522,0.834945398,0.904943204,"0.8912529301740528
",3,DBP-CNN(Hybrid),16*2
0.807258633,0.759905381,0.877070618,0.901122019,0.712464589,0.625171932,0.824510747,0.896206727,"0.8868533477855036
",3,DBP-CNN(Hybrid),16*2
0.82164258,0.775644871,0.887179486,0.90736842,0.735127478,0.652580978,0.836351876,0.900130212,"0.8854879562174975
",3,DBP-CNN(Hybrid),16*2
