ACC,PRE,NPV,SE,SP,MCC,PPV,AUC,AUC-PR,CNN_layers,model,Max-length
0.787878788,0.874545454,0.733026467,0.674614305,0.902266288,0.592027408,0.761678543,0.898757494,"0.878950133136486
",4,DBP-CNN,L=800
0.820648344,0.813826146,0.82788671,0.833800841,0.807365439,0.64143951,0.823692414,0.898657669,"0.8884474300516245
",4,DBP-CNN,L=800
0.823819591,0.797940797,0.855140186,0.869565217,0.777620396,0.650126617,0.832214765,0.898637803,"0.880767864895592
",4,DBP-CNN,L=800
0.800916138,0.751901696,0.875110717,0.901122019,0.699716713,0.613786074,0.819776714,0.900239234,"0.8902275330147205
",4,DBP-CNN,L=800
0.826224885,0.796060991,0.86381631,0.879298245,0.772662889,0.655907276,0.83561187,0.899555191,"0.8915111464153804
",4,DBP-CNN,L=800
0.802677942,0.846955128,0.767924528,0.741234221,0.864730878,0.610406105,0.790575916,0.898989427,"0.8786245834226593
",4,DBP-CNN,L=800
0.809372798,0.828020756,0.792478173,0.783309957,0.83569405,0.619751018,0.805045045,0.894458041,"0.8846830685394195
",4,DBP-CNN,L=800
0.805496829,0.851286173,0.769761606,0.742636746,0.868980169,0.616314309,0.793258427,0.900354704,"0.8863040655088847
",4,DBP-CNN,L=800
0.815715292,0.781659388,0.859919028,0.878681626,0.752124645,0.636169545,0.827335754,0.901340543,"0.8911571083442299
",4,DBP-CNN,L=800
0.827282341,0.815665091,0.839970501,0.847719298,0.806657223,0.655005755,0.831383345,0.895828736,"0.8830157878758538
",4,DBP-CNN,L=800
0.816067653,0.837313432,0.79706275,0.786816269,0.845609065,0.633400008,0.811279826,0.900625872,"0.8841433135530918
",4,DBP-CNN,L=800
0.798097252,0.737869492,0.901435406,0.927769985,0.66713881,0.616707474,0.821994408,0.890981032,"0.8791852928244639
",4,DBP-CNN,L=800
0.819591261,0.786700125,0.861736334,0.879382889,0.759206798,0.64349424,0.830463576,0.897838702,"0.8839954100159921
",4,DBP-CNN,L=800
