ACC,PRE,NPV,SE,SP,MCC,PPV,AUC,AUC-PR,model,dropout
0.814305849,0.803511141,0.826086956,0.834502103,0.793909348,0.629004495,0.81871345,0.890521636,"0.8702536500261665
",DBP-CNN(Hybrid),0.1
0.807258633,0.755671902,0.886505808,0.910939691,0.702549575,0.627669605,0.826073132,0.891698187,"0.8782930616335267
",DBP-CNN(Hybrid),0.1
0.817829457,0.798032786,0.840822543,0.853436185,0.781869688,0.63707813,0.824805151,0.896126271,"0.8752058381348866
",DBP-CNN(Hybrid),0.1
0.803735025,0.743417367,0.905982905,0.930575034,0.675637393,0.627434871,0.82653379,0.902209671,"0.89178087627595
",DBP-CNN(Hybrid),0.1
0.815650335,0.768772348,0.883520275,0.905263157,0.725212464,0.641291352,0.831453432,0.897035933,"0.8795082503970427
",DBP-CNN(Hybrid),0.1
0.81465821,0.806539509,0.823357664,0.83029453,0.798866855,0.629529172,0.818244644,0.893232819,"0.8759377580462179
",DBP-CNN(Hybrid),0.1
0.818181818,0.793170103,0.848367029,0.863253856,0.772662889,0.638720758,0.826729348,0.892574765,"0.8764799312825307
",DBP-CNN(Hybrid),0.1
0.821705426,0.805851063,0.839580209,0.849929873,0.793201133,0.644280114,0.827303754,0.897549406,"0.8768412022983
",DBP-CNN(Hybrid),0.1
0.81888654,0.800791556,0.839636913,0.851332398,0.78611898,0.638938191,0.825288919,0.89982379,"0.8839828442069254
",DBP-CNN(Hybrid),0.1
0.826224885,0.798335467,0.860392156,0.875087719,0.776912181,0.655355129,0.834951456,0.891875155,"0.8678972569398435
",DBP-CNN(Hybrid),0.1
0.821353066,0.812797821,0.830533235,0.837307152,0.805240793,0.642939383,0.824870466,0.896032902,"0.8774783787477133
",DBP-CNN(Hybrid),0.1
0.813953488,0.80296896,0.825958701,0.834502103,0.793201133,0.628315152,0.818431912,0.890411381,"0.8762134465317266
",DBP-CNN(Hybrid),0.1
0.831219168,0.820582261,0.842762674,0.849929873,0.812322946,0.662798653,0.834998277,0.903043041,"0.8877019772286144
",DBP-CNN(Hybrid),0.1
0.82311487,0.801960784,0.847859327,0.860448807,0.785410764,0.647836816,0.830175913,0.900635308,"0.8862750131939515
",DBP-CNN(Hybrid),0.1
0.81811773,0.811942347,0.824637681,0.830175438,0.805949008,0.636352197,0.820957668,0.89554545,"0.8789076252334019
",DBP-CNN(Hybrid),0.1
0.810077519,0.784112748,0.841816757,0.85834502,0.761331444,0.622795138,0.819551389,0.889768226,"0.8697558895984613
",DBP-CNN(Hybrid),0.1
0.808315715,0.80413793,0.812680115,0.817671809,0.798866855,0.61667834,0.8108484,0.891365435,"0.8755518615917569
",DBP-CNN(Hybrid),0.1
0.812191684,0.764044943,0.883173495,0.906030855,0.717422096,0.635224564,0.829002245,0.892910745,"0.8745675406424885
",DBP-CNN(Hybrid),0.1
0.830514447,0.805035506,0.86113266,0.874474053,0.78611898,0.663374744,0.838319327,0.900843899,"0.8814705914764724
",DBP-CNN(Hybrid),0.1
0.821995065,0.780146163,0.879497907,0.898947368,0.744334277,0.651411486,0.835343984,0.894153372,"0.8759906915075779
",DBP-CNN(Hybrid),0.1
0.817829457,0.786389413,0.857713828,0.875175315,0.759915014,0.63958091,0.828410222,0.884464557,"0.860478468992056
",DBP-CNN(Hybrid),0.1
0.813248767,0.79946524,0.828614008,0.838709677,0.78753541,0.627161498,0.818617385,0.8889284,"0.8739627946227211
",DBP-CNN(Hybrid),0.1
0.820648344,0.833940276,0.808191126,0.802945301,0.838526912,0.641801724,0.818149339,0.901919134,"0.8892004861625271
",DBP-CNN(Hybrid),0.1
0.825229035,0.81849315,0.832365747,0.838008415,0.812322946,0.650595076,0.828135828,0.902048262,"0.8840827288399528
",DBP-CNN(Hybrid),0.1
0.81670779,0.821149751,0.812324929,0.811929824,0.821529744,0.633467126,0.816513761,0.894904329,"0.8752806249612941
",DBP-CNN(Hybrid),0.1
0.811134602,0.812061711,0.8101983,0.812061711,0.8101983,0.622260011,0.812061711,0.889510467,"0.8734917038013369
",DBP-CNN,0.1
